11,angL angL,0
14,anL anH,0
513,jr aL aL,5,眨:5
526,jr eH eH,5,遮:5
562,ju eiH eiL,5,贅:1,墜:4,綴:0
583,k angH angL,5,伉:0,抗:5
584,k angL angH,5,扛:5
587,k anL anH,5,崁:0,砍:5
602,k ouH ouL,5,扣:5
623,ku eiH eiL,5,潰:2,饋:0,愧:3
668,l wuH wuH,5,嚕:5
691,li ehH ehH,5,咧:5
693,li ehL ehH,5,咧:5
694,li ehL ehL,5,咧:5
757,m ouL ouL,5,某:5
768,mi auH auH,5,喵:5
775,mi enL enL,5,敏:5,憫:0
809,n wuH wuL,5,怒:5
848,oL oH,5,哦:5
868,p auH auH,5,拋:5
879,p ngH ngH,5,烹:0,澎:1,怦:3,抨:1
887,p ouH ouH,5,剖:5
889,p ouL ouL,5,剖:5
905,pi ehH ehH,5,撇:5,瞥:0
906,pi ehL ehL,5,撇:5
915,r angL angH,5,嚷:3,攘:2,壤:0
916,r angL angL,5,嚷:3,攘:2,壤:0
921,r auL auL,5,擾:5
924,r eL eL,5,惹:1,若:4
928,r ngH ngH,5,扔:5
986,shiu anH anL,5,炫:2,敻:0,旋:2,絢:1
1004,shr aL aH,5,傻:3,啥:2
1048,shu aiL aiH,5,甩:5
1049,shu aiL aiL,5,甩:5
1072,su enH enH,5,孫:5
1117,t aiH aiH,5,胎:4,苔:1
1122,t angH angH,5,湯:5
1141,t wuH wuH,5,凸:2,禿:3
1153,ti auH auH,5,挑:5
1156,ti auL auL,5,挑:5,窕:0
1168,tsu eiH eiH,5,催:2,衰:3,摧:0
1195,tsz anL anL,5,黲:0,慘:5
1234,tz aiH aiH,5,災:4,栽:1
1287,tzu oL oL,5,左:5
1326,yi angH angH,5,央:5,鴦:0
252,di ngH ngH,6,盯:0,釘:1,丁:2,町:1,叮:2
256,di ouH ouH,6,丟:6
259,du anL anH,6,短:6
260,du anL anL,6,短:6
297,f eiL eiH,6,匪:2,肥:4
356,gu aH aL,6,掛:6,褂:0,卦:0,挂:0
364,gu angH angL,6,逛:6
398,h anL anL,6,喊:5,罕:1
507,jr aH aL,6,柵:1,炸:5
508,jr aiH aiH,6,齋:0,摘:6
588,k anL anL,6,崁:0,坎:1,砍:5
598,k enL enH,6,懇:0,肯:6
599,k enL enL,6,懇:0,肯:6
610,ku aH aL,6,跨:6,胯:0
617,ku angL angH,6,狂:6
620,ku anL anH,6,款:6
621,ku anL anL,6,款:6
649,l anL anL,6,懶:3,纜:0,覽:3
672,l yiH yiH,6,哩:6
770,mi auL auH,6,淼:0,描:5,苗:1,瞄:0,藐:0
869,p auH auL,6,炮:1,砲:0,泡:5
880,p ngH ngL,6,碰:6
888,p ouL ouH,6,剖:5,抔:1
920,r auL auH,6,擾:5,饒:1
1027,shr enL enL,6,沈:4,審:2
1046,shu aiH aiH,6,衰:3,摔:3
1054,shu angL angH,6,爽:6
1055,shu angL angL,6,爽:6
1091,sz angH angL,6,喪:6
1135,t ngL ngH,6,藤:0,籐:0,疼:6,騰:0
1136,t ouH ouH,6,偷:6
1179,tsu oH oH,6,磋:0,搓:5,撮:1
1231,tu oL oH,6,陀:2,馱:0,沱:0,鴕:0,駝:4
1281,tzu ngH ngH,6,綜:1,蹤:2,棕:0,宗:1,縱:2
18,auL auH,7,遨:0,熬:6,嗷:1,敖:0
57,b oM oM,7,蔔:7
62,b yiH yiH,7,逼:7
70,bi auH auH,7,標:7,飆:0,摽:0
114,chi enL enH,7,秦:1,琴:1,芹:0,勤:5
166,chr ouH ouH,7,抽:7
167,chr ouH ouL,7,臭:7
220,d auH auH,7,刀:7
257,du anH anH,7,端:7
291,f anH anH,7,番:5,翻:2
301,f enL enH,7,粉:3,墳:2,焚:2
326,g anH anL,7,幹:7,贛:0
428,hu angH angL,7,晃:7
440,hu enH enL,7,混:5,渾:2
443,hu ngH ngH,7,轟:1,哄:5,烘:1
506,jr aH aH,7,扎:1,挓:0,渣:6
510,jr aiL aiH,7,宅:4,窄:3
540,jr ouH ouL,7,咒:3,晝:1,皺:1,宙:2
634,ku oH oL,7,闊:5,擴:0,括:2
654,l eH eH,7,勒:7
656,l eiH eiH,7,勒:7
661,l ngH ngL,7,愣:0,楞:7
701,li ngL ngL,7,領:7
702,li ouH ouH,7,溜:7
708,liu ehH ehL,7,略:7
738,m auL auH,7,茅:1,毛:6
764,m yiL yiL,7,靡:0,米:7
767,mi anL anL,7,勉:0,靦:0,免:7,緬:0
811,n wuL wuL,7,努:7
827,ni ehH ehH,7,捏:7
830,ni enL enH,7,您:7
865,p anH anL,7,盼:2,畔:1,判:2,拚:2
873,p eiH eiL,7,沛:0,珮:0,佩:1,配:6
874,p eiL eiH,7,賠:4,陪:3,培:0
876,p enH enH,7,噴:7
890,p wuH wuH,7,撲:4,鋪:3
1002,shr aiH aiL,7,曬:7
1023,shr eL eL,7,捨:3,舍:4
1045,shu aH aH,7,刷:7
1084,sz aH aH,7,撒:7
1086,sz aiH aiH,7,塞:6,腮:1
1145,t yiH yiH,7,梯:7
1236,tz aiL aiH,7,載:7,宰:0
1292,wu aL aH,7,娃:4,瓦:3
1314,wu oH oL,7,握:7,臥:0
35,b anL anH,8,版:2,板:6
46,b enH enL,8,笨:8
84,bi ngL ngL,8,稟:1,屏:0,餅:7
96,chi angH angH,8,鏘:0,鎗:0,槍:2,腔:0,搶:6
214,d angL angH,8,擋:1,黨:7
215,d angL angL,8,黨:7,檔:0,擋:1
251,di ehL ehH,8,迭:1,蝶:3,疊:0,跌:4
277,enH enH,8,嗯:1,恩:7
365,gu angL angH,8,廣:8
366,gu angL angL,8,廣:8
372,gu eiH eiL,8,桂:0,貴:6,櫃:0,跪:2
421,h wuL wuL,8,唬:1,虎:7
441,hu enL enH,8,混:5,魂:1,渾:2,餛:0
494,jiu anL anH,8,卷:2,捲:6
495,jiu anL anL,8,卷:2,捲:6
684,li anH anL,8,鏈:0,練:5,戀:3,斂:0
724,m aH aL,8,罵:8
756,m ouL ouH,8,牟:0,謀:3,某:5
782,n aiH aiL,8,耐:4,奈:4
810,n wuL wuH,8,努:7,駑:1,奴:0
849,ouH ouH,8,鷗:0,歐:4,嘔:4,慪:0
918,r anL anL,8,染:8
927,r enL enL,8,忍:8
1008,shr angL angH,8,賞:8
1047,shu aiH aiL,8,帥:4,蟀:1,率:3
1074,su enL enH,8,損:8
1075,su enL enL,8,損:8
1076,su ngH ngH,8,鬆:5,松:3
1080,su oH oH,8,縮:4,唆:0,嗦:4,梭:0,蓑:0
1090,sz angH angH,8,桑:2,喪:6
1131,t auH auL,8,套:8
1190,tsz angH angH,8,倉:2,蒼:5,滄:1
1217,tu eiH eiH,8,推:8
1220,tu eiL eiL,8,腿:8
1343,yi enH enL,8,印:8
61,b wuL wuL,9,哺:0,捕:5,補:4,埔:0
184,chu angH angL,9,創:9
254,di ngL ngH,9,頂:9
255,di ngL ngL,9,頂:9
309,f ouL ouL,9,否:9
318,g aiL aiH,9,改:9
319,g aiL aiL,9,改:9
323,g angL angH,9,港:9
324,g angL angL,9,港:9
430,hu angL angL,9,恍:0,謊:2,晃:7
557,ju anH anH,9,專:8,磚:1,顓:0
561,ju eiH eiH,9,錐:0,追:9,椎:0
579,k aiL aiL,9,楷:0,凱:6,愷:0,慨:3
619,ku anH anH,9,寬:9
644,l angH angL,9,浪:9
670,l wuL wuH,9,盧:0,魯:3,爐:6,蘆:0
740,m eiH eiL,9,寐:0,妹:8,魅:1
743,m enH enH,9,悶:9
744,m enH enL,9,懣:0,悶:9
749,m ngL ngH,9,矇:1,蒙:6,猛:2
844,nu oH oL,9,糯:1,諾:8,挼:0
883,p oH oH,9,坡:0,波:9,潑:0
898,pi anH anH,9,扁:4,偏:2,篇:3
937,ru anL anH,9,堧:0,軟:9
938,ru anL anL,9,阮:0,軟:9
1133,t auL auL,9,討:9
1218,tu eiH eiL,9,退:9
1313,wu oH oH,9,萵:6,渦:3
1337,yi auL auL,9,杳:0,咬:9,窈:0
1367,yu enL enH,9,雲:9,允:0,隕:0
36,b anL anL,10,版:2,闆:2,板:6
54,b oH oL,10,薄:3,播:7,簸:0
175,chrH chrL,10,翅:5,赤:4,斥:1
193,chu eiL eiH,10,錘:0,垂:10
195,chu enL enH,10,唇:0,蓴:0,蠢:3,純:7
325,g anH anH,10,肝:0,乾:7,竿:0,尷:2,干:1
357,gu aiH aiH,10,乖:10
376,gu enL enH,10,滾:10
377,gu enL enL,10,滾:10
434,hu anL anL,10,緩:10
580,k aL aH,10,卡:10
581,k aL aL,10,卡:10
582,k angH angH,10,康:10,糠:0,慷:0
606,k wuH wuL,10,庫:5,酷:3,褲:2
647,l anH anL,10,爛:8,濫:2
705,li ouL ouL,10,柳:10
730,m aM aM,10,蟆:9,嘛:1
797,n auH auL,10,鬧:10
821,ni anH anL,10,念:10
893,p wuL wuL,10,譜:0,圃:0,埔:0,浦:6,普:4
976,shi enL enH,10,尋:10
1069,su eiH eiL,10,碎:6,穗:1,歲:2,隧:1
1159,ti ehL ehH,10,鐵:10
1160,ti ehL ehL,10,鐵:10,帖:0
1196,tsz auH auH,10,糙:1,操:9
1219,tu eiL eiH,10,腿:8,頹:2
1221,tu enH enH,10,吞:10
1228,tu ngL ngL,10,統:10,桶:0
1229,tu oH oH,10,脫:5,拖:2,託:2,托:1
1309,wu enL enL,10,吻:2,穩:8
1310,wu ngH ngH,10,嗡:3,翁:7
120,chi ouH ouH,11,邱:1,蚯:1,坵:0,秋:9
191,chu eiH eiH,11,吹:11
194,chu enH enH,11,春:11
261,du eiH eiH,11,堆:11
264,du enH enL,11,沌:0,燉:0,鈍:1,頓:10,飩:0
379,gu ngH ngL,11,供:7,共:4
391,h aL aH,11,蝦:2,蛤:9
411,h ngH ngL,11,橫:11
463,ji aL aL,11,假:9,甲:2,賈:0
572,ju oH oH,11,捉:2,桌:9
665,l ouH ouL,11,漏:0,露:8,陋:3
666,l ouL ouH,11,樓:7,嘍:1,摟:3
773,mi ehH ehL,11,滅:11
838,ni ouL ouL,11,忸:0,扭:11,鈕:0,紐:0
842,nu ngH ngL,11,弄:11
855,p aiH aiH,11,啪:2,拍:9
886,p oL oL,11,剖:5,頗:6
1031,shr ngL ngL,11,省:11
1032,shr ouH ouH,11,收:11
1088,sz aL aH,11,灑:4,撒:7
1089,sz aL aL,11,灑:4,撒:7
1146,t yiH yiL,11,替:9,嚏:0,悌:0,剃:2
1169,tsu eiH eiL,11,萃:0,脆:6,悴:4,翠:1
1350,yi oH oH,11,唷:11
1369,yu ngH ngH,11,擁:11,雍:0,墉:0
123,chiu anH anH,12,圈:12
153,chr auL auL,12,炒:3,吵:9
227,d ngH ngH,12,登:5,燈:7
412,h ngL ngH,12,橫:11,佷:0,衡:0,恆:1
590,k auH auL,12,犒:0,靠:12
736,m auH auH,12,貓:12
804,n enH enL,12,嫩:12
861,p angH angL,12,胖:12
897,p yiL yiL,12,圮:0,匹:2,痞:1,否:9
1025,shr enH enL,12,蜃:0,慎:0,甚:12,滲:0
1085,sz aH aL,12,薩:5,撒:7
1137,t ouH ouL,12,透:12
1200,tsz eH eL,12,冊:2,策:7,測:3
1237,tz aiL aiL,12,宰:0,仔:5,載:7
1270,tzu anH anH,12,鑽:12
1271,tzu anH anL,12,鑽:12
1363,yu ehH ehH,12,約:12
17,auH auL,13,傲:8,奧:2,澳:0,拗:3,懊:0
23,b aiH aiL,13,敗:8,拜:5
32,b angL angL,13,榜:1,膀:9,綁:3
104,chi auH auH,13,敲:13,橇:0
373,gu eiL eiH,13,癸:0,鬼:13
396,h anH anL,13,汗:4,撼:0,漢:7,憾:2
492,jiu anH anH,13,捐:1,娟:0,圈:12
520,jr anL anH,13,展:13
521,jr anL anL,13,展:13,嶄:0
551,ju aH aH,13,抓:13
616,ku angH angL,13,況:12,曠:0,礦:1,眶:0
659,l eiL eiL,13,儡:1,累:11,壘:1
719,lu oH oH,13,囉:13
751,m oH oH,13,摸:13
982,shi ouH ouH,13,休:4,修:5,羞:4
983,shi ouH ouL,13,繡:0,臭:7,宿:0,秀:6
1013,shr anL anH,13,閃:13
1014,shr anL anL,13,閃:13
1126,t anH anH,13,探:6,癱:1,貪:6,灘:0
1243,tz anH anL,13,讚:13,贊:0
1302,wu eiH eiH,13,委:9,葳:0,威:4
127,chiu ehH ehH,14,缺:14
162,chr ngH ngH,14,稱:13,撐:1
163,chr ngH ngL,14,秤:1,稱:13
374,gu eiL eiL,14,癸:0,鬼:13,軌:1
512,jr aL aH,14,扎:1,紮:3,眨:5,炸:5
769,mi auH auL,14,妙:13,廟:1
776,mi ngH ngL,14,命:14
857,p aiL aiH,14,牌:7,排:7
891,p wuH wuL,14,瀑:1,暴:9,曝:1,鋪:3
946,ru oH oL,14,弱:10,若:4
996,shiu ngH ngH,14,兇:2,胸:5,洶:1,兄:6
1012,shr anH anL,14,善:14,擅:0
1066,su anH anL,14,算:14
1114,szM szM,14,思:14
1127,t anH anL,14,探:6,嘆:8,歎:0,炭:0
1194,tsz anL anH,14,殘:9,慘:5
1246,tz auH auH,14,糟:2,遭:12
119,chi ngL ngL,15,請:15,頃:0
131,chiu enL enH,15,裙:3,群:12
149,chr anL anL,15,產:15,鏟:0
427,hu angH angH,15,慌:5,荒:10
435,hu eiH eiH,15,恢:7,輝:1,灰:5,揮:2
459,j yuL yuL,15,舉:15
509,jr aiH aiL,15,債:5,責:10
632,ku ngL ngH,15,恐:10,孔:5
633,ku ngL ngL,15,恐:10,孔:5
748,m ngH ngL,15,孟:1,夢:14
859,p aL aH,15,杷:0,爬:15
931,r ouL ouH,15,揉:1,柔:14
1015,shr auH auH,15,稍:1,燒:14
1061,shu enH enL,15,順:14,瞬:1
1094,sz anH anL,15,散:15
1164,ti ngL ngL,15,艇:7,町:1,挺:7
1210,tszH tszH,15,雌:0,疵:0,差:15
1238,tz aL aH,15,雜:11,砸:0,咱:4
1275,tzu eiL eiH,15,嘴:15
1276,tzu eiL eiL,15,嘴:15
1329,yi angL angL,15,仰:1,癢:1,養:13
